experiment_id,alpha,gamma,epsilon_min,episode_window_hours,seed,mean_abs_imbalance,max_abs_imbalance,imbalance_std,imbalance_trend,improvement_ratio,valid,success,error
1,0.25,0.88,0.1,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
2,0.25,0.88,0.1,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
3,0.25,0.88,0.1,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
4,0.25,0.88,0.1,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
5,0.25,0.88,0.1,120,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
6,0.25,0.88,0.1,120,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
7,0.25,0.88,0.1,144,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
8,0.25,0.88,0.1,144,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
9,0.25,0.88,0.1,144,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
10,0.25,0.88,0.1,168,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
11,0.25,0.88,0.1,168,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
12,0.25,0.88,0.1,168,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
13,0.25,0.88,0.1,240,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
14,0.25,0.88,0.1,240,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
15,0.25,0.88,0.1,240,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
16,0.25,0.88,0.1,336,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
17,0.25,0.88,0.1,336,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
18,0.25,0.88,0.1,336,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
19,0.25,0.88,0.15,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
20,0.25,0.88,0.15,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
21,0.25,0.88,0.15,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
22,0.25,0.88,0.15,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
23,0.25,0.88,0.15,120,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
24,0.25,0.88,0.15,120,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
25,0.25,0.88,0.15,144,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
26,0.25,0.88,0.15,144,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
27,0.25,0.88,0.15,144,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
28,0.25,0.88,0.15,168,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
29,0.25,0.88,0.15,168,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
30,0.25,0.88,0.15,168,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
31,0.25,0.88,0.15,240,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
32,0.25,0.88,0.15,240,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
33,0.25,0.88,0.15,240,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
34,0.25,0.88,0.15,336,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
35,0.25,0.88,0.15,336,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
36,0.25,0.88,0.15,336,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
37,0.25,0.88,0.2,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
38,0.25,0.88,0.2,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
39,0.25,0.88,0.2,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
40,0.25,0.88,0.2,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
41,0.25,0.88,0.2,120,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
42,0.25,0.88,0.2,120,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
43,0.25,0.88,0.2,144,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
44,0.25,0.88,0.2,144,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
45,0.25,0.88,0.2,144,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
46,0.25,0.88,0.2,168,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
47,0.25,0.88,0.2,168,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
48,0.25,0.88,0.2,168,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
49,0.25,0.88,0.2,240,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
50,0.25,0.88,0.2,240,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
51,0.25,0.88,0.2,240,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
52,0.25,0.88,0.2,336,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
53,0.25,0.88,0.2,336,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
54,0.25,0.88,0.2,336,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
55,0.25,0.88,0.25,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
56,0.25,0.88,0.25,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
57,0.25,0.88,0.25,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
58,0.25,0.88,0.25,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
59,0.25,0.88,0.25,120,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
60,0.25,0.88,0.25,120,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
