time,solar,solar_state,solar_discrete,wind,wind_state,wind_discrete,bat,bat_soc,bat_soc_discrete,bat_state,grid,grid_state,grid_discrete,renewable,renewable_discrete,total,demand,dif,total_discrete,demand_discrete,price,reward_solar,reward_wind,reward_bat,reward_grid
2019-01-01 00:00:00,0.0,0,0,24.61,0,1,-18.32,0.6127222222222223,1,1,0.0,0,1,24.61,1,-18.32,18.32,-36.64,0,0,2.0,0.0,-10.0,10.0,0.0
2019-01-01 01:00:00,0.0,0,0,25.22,1,1,0.0,0.6127222222222223,1,0,0.0,0,0,25.22,1,25.22,20.3,4.919999999999998,1,0,2.0,0.0,10.0,0.0,0.0
2019-01-01 02:00:00,0.0,0,0,22.83,1,1,-1.759999999999998,0.6139444444444445,1,1,0.0,0,0,22.83,1,21.07,21.07,0.0,0,0,2.0,0.0,10.0,10.0,0.0
2019-01-01 03:00:00,0.0,0,0,26.21,0,1,0.0,0.6139444444444445,1,0,20.52,1,0,26.21,1,20.52,20.52,0.0,0,0,2.0,0.0,-10.0,0.0,-20.0
2019-01-01 04:00:00,0.0,0,0,25.45,1,1,0.0,0.6139444444444445,1,0,0.0,0,1,25.45,1,25.45,18.12,7.329999999999998,1,0,2.0,0.0,10.0,0.0,0.0
2019-01-01 05:00:00,0.0,0,0,23.71,1,1,-4.390000000000001,0.6169930555555556,1,1,0.0,0,0,23.71,1,19.32,19.32,0.0,0,0,2.0,0.0,10.0,10.0,0.0
2019-01-01 06:00:00,3.37,1,0,24.45,0,1,16.32,0.6056597222222222,1,2,0.0,0,0,27.82,1,19.69,19.69,0.0,0,0,2.0,0.0,-10.0,-10.0,0.0
2019-01-01 07:00:00,8.12,0,0,24.27,1,1,-5.199999999999999,0.6092708333333333,1,1,0.0,0,0,32.39,1,19.07,19.07,0.0,0,0,2.0,0.0,0.0,0.0,0.0
2019-01-01 08:00:00,16.68,0,0,23.32,1,1,-1.9400000000000013,0.6106180555555556,1,1,0.0,0,0,40.0,1,21.38,21.38,0.0,1,1,2.0,0.0,10.0,10.0,0.0
2019-01-01 09:00:00,29.21,1,1,24.97,1,1,-35.93,0.6355694444444444,1,1,0.0,0,0,54.18,2,18.25,18.25,0.0,0,0,2.0,10.0,10.0,20.0,0.0
2019-01-01 10:00:00,43.57,1,2,19.66,1,0,-42.32000000000001,0.6649583333333333,1,1,0.0,0,0,63.230000000000004,2,20.909999999999997,20.91,-3.552713678800501e-15,0,0,2.0,20.0,0.0,20.0,0.0
2019-01-01 11:00:00,55.39,0,2,21.8,0,1,-20.9,0.6794722222222221,1,1,0.0,0,0,77.19,3,-20.9,20.9,-41.8,0,0,2.0,0.0,0.0,-40.0,0.0
2019-01-01 12:00:00,60.0,0,2,18.47,0,0,123.02,0.5940416666666667,2,2,0.0,1,0,78.47,3,123.02,123.02,0.0,5,5,2.0,0.0,0.0,20.0,-20.0
2019-01-01 13:00:00,55.39,0,2,16.76,0,0,118.47,0.5117708333333334,1,2,0.0,0,1,72.15,3,118.47,118.47,0.0,5,5,2.0,0.0,0.0,20.0,0.0
2019-01-01 14:00:00,43.57,0,2,15.03,0,0,126.78,0.4237291666666667,1,2,0.0,0,0,58.6,2,126.78,126.78,0.0,5,5,2.0,0.0,0.0,30.0,0.0
2019-01-01 15:00:00,29.21,0,1,13.63,0,0,109.1,0.3479652777777778,1,2,0.0,0,0,42.84,2,109.1,109.1,0.0,5,5,2.0,0.0,0.0,30.0,0.0
2019-01-01 16:00:00,16.68,0,0,11.19,0,0,128.14,0.2589791666666667,1,2,0.0,0,0,27.869999999999997,1,128.14,128.14,0.0,5,5,2.0,0.0,0.0,-80.0,-20.0
2019-01-01 17:00:00,8.12,0,0,9.78,1,0,0.0,0.2589791666666667,0,0,0.0,0,0,17.9,0,9.78,114.57,-104.78999999999999,0,5,2.0,0.0,-50.0,0.0,-20.0
2019-01-01 18:00:00,3.37,0,0,7.79,0,0,0.0,0.2589791666666667,0,0,0.0,0,0,11.16,0,0.0,120.23,-120.23,0,5,2.0,0.0,0.0,0.0,-20.0
2019-01-01 19:00:00,0.0,0,0,6.1,0,0,0.0,0.2589791666666667,0,0,123.27,1,0,6.1,0,123.27,123.27,0.0,5,5,2.0,0.0,0.0,0.0,5.0
2019-01-01 20:00:00,0.0,0,0,4.84,0,0,0.0,0.2589791666666667,0,0,108.18,1,1,4.84,0,108.18,108.18,0.0,5,5,2.0,0.0,0.0,0.0,5.0
2019-01-01 21:00:00,0.0,0,0,3.21,0,0,0.0,0.2589791666666667,0,0,116.14,1,1,3.21,0,116.14,116.14,0.0,5,5,2.0,0.0,0.0,0.0,5.0
2019-01-01 22:00:00,0.0,0,0,1.55,0,0,0.0,0.2589791666666667,0,0,118.62,1,1,1.55,0,118.62,118.62,0.0,5,5,2.0,0.0,0.0,0.0,5.0
